,game,platform,rating
330,Growlanser: Heritage of War,PlayStation 2,60
331,Pokemon Mystery Dungeon: Explorers of Time,DS,60
332,Zombie Driver: Immortal Edition,Switch,60
333,All-Star Fruit Racing,PlayStation 4,60
334,Deadpool,PlayStation 4,60
335,Tarr Chronicles,PC,60
336,Generation of Chaos,PSP,60
337,Resistance: Burning Skies,PlayStation Vita,60
338,Kandagawa Jet Girls,PlayStation 4,60
339,Shaun White Snowboarding,PC,60
340,Cold War,Xbox,60
341,One Piece: Burning Blood,Xbox One,60
342,Commandos 2 HD Remaster,PC,60
343,Gauntlet: Dark Legacy,GameCube,60
344,The Mysterious Cities of Gold: Secret Paths,Wii U,60
345,Carrier Command: Gaea Mission,PC,60
346,Dungeon Explorer: Warriors of Ancient Arts,DS,60
347,Spyro: A Hero's Tail,PlayStation 2,60
348,Rayman Arena,GameCube,60
349,Big Scale Racing,PC,60
350,Army Men: Sarge's Heroes,Dreamcast,60
351,Naruto Shippuden: Legends: Akatsuki Rising,PSP,60
352,Time Crisis 4,PlayStation 3,60
353,Mega Man Star Force: Pegasus,DS,60
354,Zombie Driver,PC,60
355,Heatseeker,PlayStation 2,60
356,Blade Dancer: Lineage of Light,PSP,60
357,Echo Night Beyond,PlayStation 2,60
358,Clive Barker's Jericho,PlayStation 3,60
359,TASOMACHI: Behind the Twilight,PC,60
360,Dragon Ball: Raging Blast 2,PlayStation 3,60
361,Jeremy McGrath's Offroad,Xbox 360,60
362,Claybook,Switch,60
363,Jump Force,PC,60
364,Terminator: Resistance,PC,60
365,Spider-Man 3,PlayStation 3,60
366,Twin Mirror,PlayStation 4,60
367,De-formers,PlayStation 4,60
368,Final Exam,PlayStation 3,60
369,MicroBot,Xbox 360,60
370,Majesty 2: Kingmaker,PC,60
371,How to Train Your Dragon,DS,60
372,Tom Clancy's Rainbow Six Vegas,PSP,60
373,Naruto: Ninja Council,Game Boy Advance,60
374,FIFA Street,Xbox,60
375,Yu-Gi-Oh! The Sacred Cards,Game Boy Advance,60
376,Mister Slime,DS,60
377,Need for Speed Undercover,PlayStation 3,60
378,Separation,PlayStation 4,60
379,Narcos: Rise of the Cartels,PlayStation 4,60
380,N.E.R.O.: Nothing Ever Remains Obscure,PlayStation 4,60
381,Pac-Man and the Ghostly Adventures 2,PlayStation 3,60
382,Pokemon Mystery Dungeon: Gates to Infinity,3DS,60
383,Inazuma Eleven Strikers,Wii,60
384,Crazy Taxi,Xbox 360,60
385,Resident Evil 2,GameCube,60
386,True Crime: New York City,GameCube,60
387,Taxi Chaos,Xbox One,60
388,Farming Simulator 20,Switch,60
389,YIIK: A Postmodern RPG,PlayStation 4,60
390,Auto Age: Standoff,PC,60
391,One Upon Light,PlayStation 4,60
392,Ethan: Meteor Hunter,PC,60
393,Vambrace: Cold Soul,PC,60
394,Planet of the Apes: Last Frontier,PlayStation 4,60
395,Liberated,Switch,60
396,"SpongeBob SquarePants: Lights, Camera, Pants!",PlayStation 2,60
397,Okabu,PlayStation 3,60
398,Finny the Fish & the Seven Waters,PlayStation 2,60
399,Mind Zero,PlayStation Vita,60
400,Crysis Remastered,Xbox One,59
401,Ary and the Secret of Seasons,PC,59
402,The Dark Crystal: Age of Resistance Tactics,Switch,59
403,inMomentum,PC,59
404,Samurai Jack: The Shadow of Aku,GameCube,59
405,Curse: The Eye of Isis,Xbox,59
406,The Italian Job,PC,59
407,Disney's Stitch: Experiment 626,PlayStation 2,59
408,The Watchmaker (2001),PC,59
409,Disney's Tarzan Untamed,PlayStation 2,59
410,Tomb Raider: Chronicles,Dreamcast,59
