,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,rating
6455,Under the Skin,PS2,2004.0,Action,Capcom,0.01,0.01,0.0,0.0,0.03,56
6456,Battlefield 2142,PC,2006.0,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.03,80
6457,Lost Planet 2,PC,2010.0,Shooter,Capcom,0.0,0.02,0.0,0.01,0.03,63
6458,NHL 07,XB,2006.0,Sports,Electronic Arts,0.02,0.01,0.0,0.0,0.03,75
6459,Bully: Scholarship Edition,PC,2008.0,Action,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03,72
6460,Guild Wars,PC,2005.0,Role-Playing,NCSoft,0.02,0.0,0.0,0.0,0.03,89
6461,Medal of Honor: Vanguard,PS2,2007.0,Shooter,Electronic Arts,0.0,0.0,0.03,0.0,0.03,63
6462,Super Monkey Ball Adventure,PS2,2006.0,Platform,Sega,0.01,0.01,0.0,0.0,0.03,53
6463,Justice League Heroes: The Flash,GBA,2006.0,Action,Eidos Interactive,0.02,0.01,0.0,0.0,0.03,72
6464,Dungeon Siege II,PC,2005.0,Role-Playing,Microsoft Game Studios,0.0,0.02,0.0,0.0,0.03,80
6465,Metal Saga,PS2,2005.0,Role-Playing,Success,0.01,0.01,0.0,0.0,0.03,62
6466,SWAT 4,PC,2005.0,Shooter,Vivendi Games,0.0,0.02,0.0,0.0,0.03,85
6467,The Lord of the Rings: Conquest,PC,2009.0,Action,Electronic Arts,0.0,0.02,0.0,0.0,0.03,57
6468,Capcom Digital Collection,X360,2012.0,Action,Capcom,0.02,0.01,0.0,0.0,0.03,65
6469,Battlestations: Pacific,PC,2009.0,Strategy,Eidos Interactive,0.0,0.02,0.0,0.0,0.03,74
6470,Neverwinter Nights 2,PC,2006.0,Role-Playing,Atari,0.0,0.02,0.0,0.0,0.03,82
6471,Battlefield 1942,PC,2002.0,Shooter,Electronic Arts,0.01,0.01,0.0,0.0,0.03,89
6472,Drome Racers,GBA,2003.0,Racing,THQ,0.02,0.01,0.0,0.0,0.03,73
6473,Tank Beat,DS,2006.0,Strategy,Midas Interactive Entertainment,0.01,0.01,0.0,0.0,0.03,41
6474,LEGO Pirates of the Caribbean: The Video Game,PC,2011.0,Action,Disney Interactive Studios,0.02,0.0,0.0,0.0,0.03,73
6475,Jurassic Park: Operation Genesis,PC,2003.0,Simulation,Vivendi Games,0.0,0.02,0.0,0.0,0.03,72
6476,Psycho-Pass: Mandatory Happiness,PS4,2016.0,Adventure,Nippon Ichi Software,0.02,0.0,0.0,0.0,0.03,72
6477,Napoleon Dynamite: The Game,DS,2007.0,Puzzle,Crave Entertainment,0.02,0.0,0.0,0.0,0.03,45
6478,ZooCube,GC,2002.0,Puzzle,Acclaim Entertainment,0.02,0.0,0.0,0.0,0.02,67
6479,Ghost Pirates of Vooju Island,PC,2009.0,Adventure,DTP Entertainment,0.0,0.02,0.0,0.0,0.02,66
